1,1.11e-05,3.9e-06;
2,2.7e-06,4.7e-06;
3,2.2e-06,4e-06;
4,1.9e-06,2.7e-06;
5,2.1e-06,2.801e-06;
6,1.999e-06,2.699e-06;
7,2e-06,2.899e-06;
8,1.999e-06,3.3e-06;
9,2.3e-06,3.1e-06;
10,5.4399e-05,6.6e-06;
11,2.399e-06,3.601e-06;
12,2.099e-06,3.6e-06;
13,2.999e-06,3.7e-06;
14,2e-06,3.5e-06;
15,2.1e-06,3.499e-06;
16,2.3e-06,4.7801e-05;
17,2.999e-06,4.2e-06;
18,2.601e-06,3.799e-06;
19,2.601e-06,3.799e-06;
20,3.601e-06,5.999e-06;
21,9.24e-05,3.5199e-05;
22,1.14e-05,1.17e-05;
23,4.99e-05,9.9e-06;
24,5e-06,9.3e-06;
25,4.501e-06,9.3e-06;
26,4.6e-06,8.9e-06;
27,4.999e-06,1.0601e-05;
28,2.74e-05,1.3999e-05;
29,7.2e-06,8.5e-06;
30,3.6e-06,6.4e-06;
31,3.499e-06,6.5e-06;
32,3.1e-06,6.2e-06;
33,4.399e-06,6.499e-06;
34,3.899e-06,6.8e-06;
35,3.8e-06,6.599e-06;
36,3.7e-06,7.2201e-05;
37,3.8e-06,7.299e-06;
38,3.3e-06,6.3e-06;
39,3.4e-06,6.6e-06;
40,3.5e-06,6.4e-06;
41,5.3e-06,1.1299e-05;
42,3.899e-06,7.099e-06;
43,3.7e-06,6.9e-06;
44,3.8e-06,7.2e-06;
45,3.9e-06,6.901e-06;
46,4.001e-06,7.001e-06;
47,4e-06,7.4e-06;
48,5.4e-06,1.4699e-05;
49,6.8e-06,1.19e-05;
50,7.601e-06,1.23e-05;
51,7.4e-06,7.3901e-05;
52,5.201e-06,9.699e-06;
53,4.9e-06,9.6e-06;
54,4.9e-06,9.299e-06;
55,6.7e-06,1.28e-05;
56,7.201e-06,1.2499e-05;
57,1.02e-05,1.0901e-05;
58,5.5e-06,9.401e-06;
59,5.5e-06,1.0299e-05;
60,5.599e-06,1.65e-05;
61,9.2e-06,1.8e-05;
62,6.101e-06,1.04e-05;
63,6e-06,1.0501e-05;
64,5.7e-06,1.05e-05;
65,7.199e-06,9.6e-06;
66,6.7e-06,1e-05;
67,6.4e-06,9.4e-06;
68,6.5e-06,1.01e-05;
69,6.601e-06,9.7e-06;
70,6.8e-06,1e-05;
71,6.901e-06,1.03e-05;
72,7.101e-06,1.63e-05;
73,7.501e-06,1.04e-05;
74,7.2e-06,1.0801e-05;
75,7.4e-06,1.04e-05;
76,7.5e-06,1.0901e-05;
77,7.599e-06,1.12e-05;
78,7.699e-06,1.1e-05;
79,7.901e-06,1.1499e-05;
80,8.1e-06,1.1501e-05;
81,8.299e-06,2.3699e-05;
82,9.1e-06,1.4301e-05;
83,8.899e-06,1.36e-05;
84,8.999e-06,1.4e-05;
85,9.001e-06,1.38e-05;
86,9.399e-06,1.47e-05;
87,9.399e-06,1.4799e-05;
88,1.02e-05,1.5001e-05;
89,9.599e-06,1.4899e-05;
90,9.8e-06,1.5299e-05;
91,9.9e-06,1.49e-05;
92,1.0599e-05,1.56e-05;
93,1.0299e-05,1.52e-05;
94,1.05e-05,1.55e-05;
95,1.07e-05,1.59e-05;
96,1.4299e-05,2.0201e-05;
97,1.18e-05,1.5701e-05;
98,1.12e-05,1.55e-05;
99,1.17e-05,1.5601e-05;
100,1.16e-05,1.7e-05;
101,1.17e-05,1.72e-05;
102,1.23e-05,1.6801e-05;
103,1.2801e-05,1.72e-05;
104,1.6099e-05,1.79e-05;
105,1.2701e-05,1.76e-05;
106,1.2601e-05,2.1801e-05;
107,1.86e-05,3.66e-05;
108,1.86e-05,2.0701e-05;
109,1.3899e-05,2.45e-05;
110,1.3799e-05,2.01e-05;
111,1.3999e-05,1.7e-05;
112,1.4399e-05,2.41e-05;
113,1.97e-05,2.9201e-05;
114,1.8599e-05,2.21e-05;
115,1.96e-05,2.4799e-05;
116,2.0399e-05,2.28e-05;
117,2.0501e-05,3.0601e-05;
118,2.21e-05,2.96e-05;
119,2.2499e-05,2.93e-05;
120,0.000141,1.8199e-05;
121,1.53e-05,1.7701e-05;
122,1.53e-05,1.7001e-05;
123,2.21e-05,1.7699e-05;
124,1.6199e-05,1.73e-05;
125,1.6e-05,1.7901e-05;
126,1.6299e-05,1.74e-05;
127,1.65e-05,1.7e-05;
128,1.53e-05,1.7001e-05;
129,1.87e-05,1.7601e-05;
130,1.85e-05,1.77e-05;
131,1.81e-05,1.7601e-05;
132,1.88e-05,1.8001e-05;
133,1.85e-05,1.83e-05;
134,1.8801e-05,1.9e-05;
135,1.9199e-05,1.84e-05;
136,1.92e-05,2.2999e-05;
137,2.11e-05,1.97e-05;
138,2.0501e-05,1.97e-05;
139,2e-05,1.9301e-05;
140,1.9999e-05,1.9899e-05;
141,2.06e-05,1.93e-05;
142,2.08e-05,1.9601e-05;
143,2.4599e-05,1.9299e-05;
144,2.1301e-05,1.9301e-05;
145,2.13e-05,1.9699e-05;
146,2.1801e-05,2.0701e-05;
147,2.2301e-05,2.0999e-05;
148,2.2401e-05,2.03e-05;
149,2.25e-05,2.13e-05;
150,2.28e-05,2.09e-05;
151,2.2999e-05,2.07e-05;
152,2.3201e-05,2.9299e-05;
153,2.3801e-05,2.1199e-05;
154,2.39e-05,2.1699e-05;
155,2.43e-05,2.15e-05;
156,2.45e-05,2.2399e-05;
157,2.46e-05,2.1799e-05;
158,2.5001e-05,2.2399e-05;
159,2.52e-05,2.1899e-05;
160,2.56e-05,2.2201e-05;
161,2.9701e-05,2.27e-05;
162,3.07e-05,3.25e-05;
